x,y
1,51.3261977543
2,-46.7012135344
3,46.6451743144
4,1.6851525725
5,-56.9421847321
6,-25.853302028
7,36.9802711007
8,-48.531545989
9,-42.5626007432
10,26.0746842821
11,14.2299532388
12,-80.4475559598
13,35.2298784462
14,-58.1561185366
15,-42.8386511099
16,-0.8362005223
17,82.0842415252
18,-8.4647214353
19,76.1727118281
20,-20.9191984577
21,-21.0599625653
22,28.0502606583
23,34.4537284542
24,13.8983263641
25,-27.6499809927
26,-20.3342983975
27,-7.8635791249
28,13.8293931865
29,-9.870691286
30,24.3375932413
31,-62.4289961155
32,-37.3089037379
33,-86.2312662178
34,-18.8763484696
35,8.8422337897
36,19.1645113205
37,-30.9939391478
38,-56.4366046818
39,76.7608130627
40,-13.6079034062
41,-28.4416855636
42,20.3867196401
43,11.7124458871
44,-88.4232487988
45,-32.6745409139
46,-15.8476564392
47,-59.6766504056
48,36.4522364917
49,57.9939633505
50,16.330155382
51,21.5869990513
52,44.8479473557
53,70.5985103641
54,19.9377961971
55,30.1873458604
56,28.6345895479
57,57.1763822406
58,-53.668872104
59,50.358490029
60,44.3666186388
61,-28.117859775
62,-81.1690411658
63,22.5552097568
64,10.6831790833
65,-58.0752779753
66,6.0031425102
67,-4.1661861415
68,73.8704893147
69,37.056715543
70,21.9792408456
71,32.6161927332
72,-20.7169072582
73,93.3726790837
74,45.5116215302
75,-16.4885344946
76,-36.2899960718
77,-36.811893135
78,3.2425844083
79,40.8497275847
80,52.1001343877
81,10.4366844318
82,36.3544453602
83,-21.2015732
84,-2.8544404324
85,14.6118926772
86,95.8263324753
87,-62.7598567089
88,-8.0585999146
89,24.899248601
90,0.8596788803
91,-5.3339092875
92,-82.5106850281
93,-17.9696665795
94,-39.7080890598
95,-25.034704517
96,76.8736212979
97,27.4566147235
98,3.842675676
99,44.6241471469
100,-49.188070251
101,-1.2933338137
102,-20.039038161
103,31.0998369351
104,79.2437393886
105,-33.603700954
106,-11.3365615344
107,41.5507485377
108,-35.9693743365
109,-65.2694435442
110,57.8727132378
111,6.0942464291
112,43.1950984495
113,17.4131633793
114,-90.2776481977
115,-41.7713698017
116,104.3655114539
117,-100.9104465202
118,64.5715512099
119,76.9863010494
120,-8.7041610025
121,-32.3417256245
122,-21.3556020637
123,58.2597503834
124,26.4749958602
125,-3.5479863925
126,-54.8073875928
127,-20.621258573
128,-14.3309015413
129,-16.5431801678
130,-8.5052931751
131,69.2800256933
132,-16.5628269307
133,-8.7547603609
134,-41.2459153297
135,37.7404089179
136,42.3911942098
137,-30.4885012335
138,49.9510573691
139,-29.3764767502
140,38.4024365236
141,-67.3853153374
142,30.6984372771
143,127.5542189851
144,-83.0087330537
145,10.1277505565
146,-17.1399236878
147,-5.9749055008
148,48.1018038313
149,30.9963820903
150,63.3400446476
151,-3.0994316889
152,78.7992481557
153,5.1363556304
154,26.1148058753
155,65.1042436346
156,0.1790893363
157,-79.6658794529
158,-0.8080192511
159,-5.8814126045
160,1.8119443174
161,-1.1452297497
162,-74.5552235957
163,-34.2652548677
164,-47.6848722211
165,91.4502179465
166,-51.789025503
167,76.191362017
168,-31.0839273038
169,19.3909825908
170,10.5702518193
171,49.7058343419
172,-4.2030009803
173,39.2691057943
174,17.7856301869
175,23.8309350972
176,-51.5213944755
177,-32.1462754704
178,45.9400017847
179,-48.2129907971
180,7.3342281113
181,40.011070179
182,-84.4528272521
183,10.5299577982
184,49.3438548046
185,31.6560989873
186,-1.6035341979
187,105.4798519987
188,23.9965490023
189,-5.1257296592
190,40.1188502315
191,28.1671228751
192,95.5669712288
193,-9.9200737304
194,-14.6143314225
195,-41.8257384777
196,81.4034866489
197,44.0949435634
198,55.6457137221
199,-32.5975108847
200,22.741435718
201,-39.5250200245
202,96.9831365764
203,-86.172971187
204,54.3870325906
205,-64.6213169214
206,3.7056948858
207,19.4597979248
208,-4.6594063965
209,14.5234724884
210,128.5940437057
211,-43.2250182574
212,61.497648514
213,-28.9484554743
214,0.7242177902
215,5.7555154232
216,-40.789577181
217,52.4676575628
218,-46.9912414723
219,-22.1086128709
220,-92.9110871884
221,-5.9959684138
222,31.9729293282
223,37.5419734203
224,43.4762674511
225,27.1110223651
226,64.1449192506
227,0.753605577
228,-12.584650141
229,48.848476537
230,3.9386173365
231,67.2995689379
232,17.6629223495
233,-71.2166936045
234,-44.976173623
235,51.1696179134
236,15.9556216945
237,38.4823665367
238,76.2612806915
239,3.4798329306
240,-25.0805517729
241,-64.8845762908
242,16.4391205422
243,85.334478668
244,28.1607411598
245,36.9904004625
246,11.7931000103
247,47.9774242872
248,-69.0769100072
249,62.1091590147
250,-32.6822565593
251,27.6749777161
252,54.3148728643
253,67.974391625
254,-24.6180371165
255,116.7917598568
256,29.4017945555
257,-20.7371330101
258,20.9104486116
259,40.009580377
260,45.0370297985
261,91.45993494
262,-33.3913679441
263,27.6995284307
264,49.557695363
265,33.2678281268
266,-22.0415656068
267,58.210021246
268,73.6182034046
269,26.3639633293
270,37.2709177428
271,25.5387612716
272,68.4510531143
273,28.5464982365
274,-2.7591514411
275,67.0135166905
276,22.4042007769
277,-31.4963909479
278,7.2020599146
279,-46.5162008379
280,27.4258107438
281,-8.7081794466
282,10.0251009297
283,45.3618176571
284,9.5748866126
285,80.0450625326
286,-57.6736047662
287,-3.0485906055
288,2.3206623829
289,-30.8994801726
290,7.1131608278
291,-24.0782853133
292,34.4616872625
293,66.2469246008
294,-57.230079215
295,47.3554669019
296,25.9530844206
297,32.5391267218
298,32.7105925012
299,82.6655385087
300,-30.781700269
301,95.4117736641
302,22.4200825875
303,9.1681203375
304,67.3008802916
305,-19.1593295611
306,-62.1574541098
307,59.7136017782
308,-154.8930455293
309,-81.8619394754
310,-42.6412130189
311,-24.2922555944
312,24.3997792988
313,-38.6383294343
314,17.7290360172
315,41.7627376024
316,-41.4523534179
317,-21.339639242
318,42.1855561744
319,18.52304063
320,42.2832414932
321,65.6213656063
322,0.1023288362
323,-51.2465391128
324,1.2651236704
325,91.4487269231
326,-54.8223822192
327,46.5374845107
328,92.4813386682
329,-55.4005028937
330,89.0551625137
331,-88.3715638043
332,-29.5274015764
333,-24.9376607147
334,-4.9417608393
335,72.7924880449
336,-28.1389164181
337,13.4328626006
338,-16.0534214237
339,-7.8557543954
340,28.6100754885
341,40.0855633956
342,17.8719907685
343,29.7254290601
344,-41.3306899005
345,-19.9745286337
346,-60.186482198
347,102.3560424187
348,-112.9640421401
349,-102.9931043017
350,30.6932864002
351,43.3773259728
352,-89.1148438908
353,78.6154123886
354,117.7171718052
355,2.4475781012
356,45.0289458868
357,-33.6829573598
358,-7.1143677259
359,25.1599197854
360,-0.903034485
361,6.5193955002
362,61.4291764058
363,-12.3800004171
364,9.4870307263
365,-46.7570382234
366,-27.6154956525
367,58.8718503129
368,-14.869242954
369,-14.0139438475
370,0.7736142677
371,-53.260812695
372,-10.0418316897
