x,y
0,0.0001823363
1,0.0125273882
2,0.0261505235
3,0.0412551149
4,0.0580885416
5,0.0769542276
6,0.0982276136
7,0.122377507
8,0.1499947929
9,0.1818311663
10,0.2188512822
11,0.2623021776
12,0.3138029885
13,0.3754531592
14,0.4499419494
15,0.5406018366
16,0.6512590578
17,0.7855804997
18,0.9454936229
19,1.1286044402
20,1.326
21,1.5233955598
22,1.7065063771
23,1.8664195003
24,2.0007409422
25,2.1113981634
26,2.2020580506
27,2.2765468408
28,2.3381970115
29,2.3896978224
30,2.4331487178
31,2.4701688337
32,2.5020052071
33,2.529622493
34,2.5537723864
35,2.5750457724
36,2.5939114584
37,2.6107448851
38,2.6258494765
