x,y
0,0
1.1,1.0909090909
1.4857142857,1.3269230769
1.8714285714,1.465648855
2.2571428571,1.5569620253
2.6428571429,1.6216216216
3.0285714286,1.6698113208
3.4142857143,1.7071129707
3.8,1.7368421053
4.1857142857,1.7610921502
4.5714285714,1.78125
4.9571428571,1.7982708934
5.3428571429,1.8128342246
5.7285714286,1.825436409
6.1142857143,1.8364485981
6.5,2
6.8857142857,2.5
7.2714285714,3.9349442379
7.6571428571,5
8.0428571429,4
8.4285714286,2.3
8.8142857143,2.3
9.2,2.3
9.5857142857,2.3
9.9714285715,2.3
10.3571428572,2.3
10.7428571429,2.3
11.1285714286,2.3
11.5142857143,2.3
11.9000000001,2.3
12.2857142858,2.3
12.6714285715,2.3
13.0571428572,2.3
13.4428571429,2.3
